"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0,0,0,2,0,0,0,3,2,0
0,1,0,2,1,0,0,2,3,2,0
0,0,0,1,0,0,0,0,6,2,0
0,1,0,1,0,0,0,0,2,2,0
0,0,0,0,1,0,0,0,0,0,0
0,0,5,0,0,0,0,0,6,5,1
1,0,1,0,0,0,0,0,2,0,0
1,0,0,0,0,2,0,1,6,0,1
1,0,0,2,0,0,0,3,0,0,0
1,0,0,1,1,0,0,3,1,1,0
1,0,0,1,0,0,0,1,1,0,0
1,1,0,0,0,0,0,3,2,0,0
1,0,0,0,0,0,0,0,5,3,0
1,0,0,0,0,0,0,1,1,1,0
1,0,0,1,1,0,0,0,3,1,1
2,0,0,1,1,0,0,2,3,1,1
2,1,0,1,1,0,0,1,5,2,0
2,1,1,0,1,0,0,0,4,0,0
2,0,0,0,1,1,1,3,3,0,0
2,0,0,3,0,0,0,3,0,1,0
2,0,0,1,0,0,0,1,3,2,0
2,0,0,10,0,0,0,2,8,0,0
2,0,0,5,0,0,0,0,4,1,1
2,0,0,0,0,0,0,2,0,1,0
2,0,0,0,1,0,0,0,2,1,0
3,0,0,4,4,0,0,0,2,0,0
3,0,0,0,3,0,0,0,3,2,0
3,0,0,2,0,0,0,0,0,0,0
3,0,0,11,0,4,1,1,3,3,0
3,0,0,0,1,1,0,0,3,0,1
3,0,1,1,0,0,0,0,2,2,0
3,0,0,1,2,1,0,1,2,1,0
3,0,0,0,1,0,0,0,2,1,0
3,0,0,5,0,1,0,0,3,1,0
3,1,0,0,0,0,0,0,3,0,0
3,1,0,1,0,0,0,0,1,0,0
3,0,0,1,2,0,0,0,4,0,1
3,1,0,0,0,0,0,0,1,0,0
3,0,0,3,0,0,0,0,3,1,1
4,1,0,1,0,0,0,0,3,0,0
4,0,0,2,0,1,0,0,2,0,0
4,0,0,1,3,0,0,0,1,2,0
4,0,0,0,0,0,0,1,1,0,0
4,0,0,4,5,1,0,0,3,1,0
4,1,0,5,2,2,0,1,3,1,0
4,0,0,2,2,0,0,0,4,0,0
4,0,0,1,5,0,0,1,1,2,0
4,0,1,0,1,1,0,0,2,2,1
5,0,0,1,5,0,0,0,3,0,0
5,0,0,3,3,0,0,0,2,1,0
5,0,0,2,2,0,0,0,3,0,0
5,0,0,1,3,0,0,0,2,4,0
5,0,0,0,2,0,0,0,3,1,0
5,0,0,0,6,1,0,1,2,0,0
5,0,0,0,19,0,0,1,3,0,0
5,1,0,0,2,0,0,0,2,0,0
5,0,0,0,4,0,0,0,3,0,0
6,0,0,0,7,0,0,0,2,0,2
6,0,0,0,2,1,0,0,3,0,0
6,0,0,2,4,0,0,0,2,1,1
6,0,0,1,0,0,0,0,1,1,2
6,0,0,0,6,0,0,0,2,0,0
6,0,0,0,17,0,0,0,2,2,0
6,0,0,0,4,0,0,1,2,0,0
6,0,0,0,3,1,0,0,4,1,0
6,0,0,0,4,0,0,0,3,1,0
6,1,0,1,0,0,0,0,2,0,0
6,0,0,1,2,1,0,0,2,0,0
6,0,0,0,1,1,0,0,3,3,0
6,1,0,0,0,0,0,0,1,0,0
6,1,0,2,0,0,0,0,1,1,0
6,0,0,0,0,2,0,0,2,0,0
6,1,0,0,4,0,0,1,3,0,0
6,1,0,3,0,0,0,0,7,1,0
7,0,0,1,8,0,0,0,2,0,0
7,0,0,0,6,0,0,0,3,0,0
7,0,0,0,6,0,0,0,3,0,2
7,0,0,0,7,0,0,0,5,0,1
7,0,0,0,5,0,0,0,2,0,0
7,1,0,0,2,1,0,0,3,0,0
7,0,0,2,22,0,0,0,1,2,0
7,0,0,1,20,0,0,1,2,0,0
7,0,0,0,1,0,0,0,2,0,0
7,0,0,0,2,0,0,0,2,0,0
7,0,0,0,1,0,1,0,1,1,0
7,0,0,0,2,0,0,0,2,0,0
7,0,0,0,7,0,0,1,1,1,1
7,1,0,0,0,2,0,3,1,2,0
7,0,0,1,1,0,0,0,0,0,0
8,0,0,0,19,0,0,0,2,0,0
8,0,0,0,9,0,0,0,1,1,1
8,1,0,0,3,0,0,0,3,1,0
8,1,0,1,1,0,0,0,2,0,0
8,1,0,3,1,0,0,0,3,1,0
8,1,0,0,0,0,0,0,1,0,0
8,0,0,0,2,0,0,0,2,1,0
9,0,0,0,13,0,0,3,1,2,0
9,0,0,0,11,0,0,0,2,0,1
9,0,0,0,2,0,0,0,1,1,0
9,0,0,1,10,0,0,0,1,1,0
9,0,0,0,12,0,0,0,2,0,0
9,0,0,0,5,1,0,0,2,0,0
9,0,0,0,8,0,0,1,3,0,0
9,0,0,1,2,0,0,0,2,0,0
9,0,0,0,2,0,0,0,2,2,0
9,0,0,0,4,0,0,0,2,0,0
9,0,0,0,5,0,0,0,2,0,0
9,1,0,1,5,0,0,0,4,0,0
9,0,0,0,0,0,0,0,2,0,0
